Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,prolificacademicID,practice_unacceptable,practice_acceptable,dp_vecino,dp_país,dp_libro,dp_comprar,pp_habilidad,pp_puesto,pp_hombre,pp_amiga,ap_agotados,ap_cansado,ap_rico,ap_triste,acceptable_examen,acceptable_pastel,acceptable_desayunar,acceptable_fiesta,acceptable_vestido,acceptable_interesada,acceptable_gimnasio,acceptable_estudiar,acceptable_paris,acceptable_trabajo,acceptable_medicamento,acceptable_casarse,unacceptable_cuadro,unacceptable_criticar,unacceptable_alfombra,unacceptable_propuesta,unacceptable_arreglar,unacceptable_bicicleta,unacceptable_disfrutar,unacceptable_ajustar,unacceptable_novela,unacceptable_chamarra,unacceptable_documento,unacceptable_auditor,residencia_actual,¿Ha residido la mayor parte de su vida en México?,¿Tiene algún comentario sobre el experimento? Por favor escríbalo aquí.
3/4/20 22:43,3/4/20 22:49,Survey Preview,NA,100,357,TRUE,3/4/20 22:49,R_10DdwZrZOabcXXL,NA,NA,NA,NA,37.41520691,-122.1223984,preview,ES,1,19.89,83.402,57.202,65.295,58.025,51.989,66.255,65.981,61.866,70.919,65.158,65.295,53.772,53.909,65.432,47.462,60.905,63.1,67.49,60.082,53.635,52.401,65.981,61.866,70.645,66.392,55.83,48.697,71.468,74.623,57.613,54.595,62.826,59.534,64.335,57.476,54.458,60,No,Sí,NA
3/4/20 22:50,3/4/20 22:53,Survey Preview,NA,100,187,TRUE,3/4/20 22:53,R_21GkAb2PScJSi1t,NA,NA,NA,NA,37.41520691,-122.1223984,preview,ES,2,9.053,83.951,68.038,65.021,67.901,71.193,67.627,68.587,63.786,65.981,65.295,65.981,62.003,66.941,62.003,66.667,61.317,68.999,73.525,65.158,65.295,69.684,54.87,65.706,69.959,62.551,62.003,67.215,64.472,67.627,63.923,57.339,64.335,70.37,65.158,67.627,68.724,66,Sí,Sí,NA
3/5/20 8:29,3/5/20 8:35,IP Address,200.68.138.45,100,369,TRUE,3/5/20 8:35,R_2Yfgt2jTbivunye,NA,NA,NA,NA,20.63800049,-103.3479996,anonymous,ES,3,2.706,100,23.856,100,69.557,19.085,83.327,23.383,72.364,4.78,10.498,13.204,3.502,21.792,100,100,100,100,100,100,100,100,100,100,100,100,12.407,15.749,72.037,18.136,7.481,10.5,16.548,43.735,22.581,14.641,10.661,9,Sí,Sí,NA
3/5/20 9:07,3/5/20 9:17,IP Address,148.202.141.171,100,582,TRUE,3/5/20 9:17,R_3NLfEHyKp9Mmxcd,NA,NA,NA,NA,20.66679382,-103.392601,anonymous,ES,4,0,100,2.229,2.229,86.943,96.815,81.847,2.229,89.809,2.229,2.229,27.389,2.229,2.229,96.815,94.268,95.86,95.223,97.134,90.764,95.223,90.127,91.401,90.446,92.357,100,2.229,2.229,6.688,2.229,2.229,2.229,2.229,8.28,2.229,36.943,3.503,2,Sí,Sí,NA
3/5/20 9:10,3/5/20 9:17,IP Address,148.202.141.171,100,431,TRUE,3/5/20 9:17,R_1JUCxj42ZGmpRV9,NA,NA,NA,NA,20.63800049,-103.3479996,anonymous,ES,5,3.343,99.696,38.906,7.599,7.903,14.894,6.991,9.726,53.799,3.647,5.167,7.295,7.903,6.991,100,100,100,100,71.429,100,100,100,100,100,5.167,99.696,9.119,3.04,8.207,4.863,8.815,3.647,6.991,7.295,4.863,5.167,6.383,34,Sí,Sí,NA
3/5/20 16:43,3/5/20 16:57,IP Address,200.68.138.190,100,875,TRUE,3/5/20 16:57,R_A5knhgia4Uqx5YZ,NA,NA,NA,NA,20.67590332,-103.3375015,anonymous,ES,6,3.822,100,90.764,46.815,0.531,39.384,19.639,15.499,98.301,18.047,5.096,37.155,0,2.654,100,95.011,100,99.575,83.758,100,100,100,100,96.497,100,100,3.609,0.637,26.539,2.442,2.76,0.425,0,0.212,3.291,1.486,0,30,Sí,Sí,Ninguno
3/5/20 17:07,3/5/20 17:13,IP Address,177.249.42.163,100,367,TRUE,3/5/20 17:13,R_33x3kYIs0y8blFp,NA,NA,NA,NA,20.81869507,-103.4633026,anonymous,ES,7,4.459,95.86,16.561,15.605,35.669,35.669,42.357,32.166,86.306,10.51,21.338,57.962,18.153,4.14,100,91.083,99.045,98.089,96.497,100,25.159,83.439,28.344,83.439,86.624,99.363,26.115,28.025,19.108,29.299,27.07,51.592,21.019,42.994,42.357,29.936,29.299,26,Sí,Sí,Muy interesante la forma en qué se construyeron los ejemplos.
3/5/20 19:05,3/5/20 19:15,IP Address,200.68.138.46,100,588,TRUE,3/5/20 19:15,R_25tmnt8EmE7RLn8,NA,NA,NA,NA,20.63800049,-103.3479996,anonymous,ES,8,2.548,100,71.019,100,2.229,31.847,5.096,28.344,100,1.433,70.382,2.548,2.229,1.592,100,100,100,100,100,100,100,100,100,100,100,100,32.166,22.93,100,10.51,5.573,31.21,34.395,2.229,69.745,3.662,2.229,70,Sí,Sí,NA
3/5/20 19:24,3/5/20 19:29,IP Address,189.203.149.86,100,354,TRUE,3/5/20 19:29,R_3JbgUwFF6DONiKU,NA,NA,NA,NA,20.81869507,-103.4633026,anonymous,ES,9,0.955,100,100,2.229,100,87.898,100,100,100,85.032,2.229,2.229,100,2.229,100,100,100,100,100,100,100,100,100,100,100,100,0.318,2.229,2.229,2.229,2.229,0.318,3.185,2.229,78.344,2.229,0.637,100,Sí,Sí,NA
3/5/20 21:03,3/5/20 21:50,IP Address,187.189.248.12,100,2824,TRUE,3/5/20 21:50,R_1FRJlMd5ms8oeCQ,NA,NA,NA,NA,20.63800049,-103.3479996,anonymous,ES,10,4.459,100,44.268,22.293,33.439,31.21,22.93,36.624,92.038,23.885,46.497,42.038,24.841,20.382,100,100,100,97.771,100,100,67.834,100,100,100,100,100,45.223,31.847,100,18.471,9.236,22.93,47.134,19.427,8.28,28.662,10.191,22,Sí,Sí,Muy interesante
3/5/20 21:53,3/5/20 21:59,IP Address,187.189.149.204,100,330,TRUE,3/5/20 21:59,R_1I765RibYz3QO8t,NA,NA,NA,NA,20.63800049,-103.3479996,anonymous,ES,11,13.374,100,61.398,100,43.769,27.66,62.006,47.72,100,43.769,29.179,7.599,14.286,0,100,100,100,100,100,100,100,100,100,100,100,100,1.216,3.343,21.581,28.875,100,45.593,14.59,24.62,19.453,6.079,3.04,1,Sí,Sí,NA
3/5/20 21:29,3/5/20 23:06,IP Address,187.189.248.12,100,5849,TRUE,3/5/20 23:06,R_2QXJ5kBNsBZ3pH7,NA,NA,NA,NA,20.63800049,-103.3479996,anonymous,ES,12,10.974,100,43.896,7.407,21.536,40.604,35.391,74.211,81.893,55.007,19.616,18.793,52.675,17.97,99.726,100,94.925,97.668,90.261,97.531,97.257,98.628,99.588,90.535,95.336,100,48.697,7.819,74.486,48.011,11.523,33.745,38.82,30.178,5.761,44.444,22.908,79,Sí,Sí,NA
3/7/20 18:56,3/7/20 19:04,IP Address,201.175.156.224,100,476,TRUE,3/7/20 19:04,R_w1wyYDw8bXtXStX,NA,NA,NA,NA,20.79139709,-103.4941025,anonymous,ES,13,1.097,100,21.674,22.085,98.491,60.768,2.332,0.96,2.195,72.016,1.097,0.823,0.549,0.686,99.451,99.726,99.863,99.588,99.726,99.177,99.314,99.863,99.588,99.451,99.314,99.04,96.022,51.44,99.314,30.59,2.881,19.89,73.388,1.92,10.425,41.564,1.92,99,Sí,Sí,NA
3/8/20 10:44,3/8/20 10:50,IP Address,177.228.55.52,100,409,TRUE,3/8/20 10:50,R_20SxSV3bSLuYbk7,NA,NA,NA,NA,21.06809998,-101.5746994,anonymous,ES,14,0,100,100,0,100,70.467,0,100,100,2.198,81.181,0,3.984,5.082,100,100,100,100,100,100,100,100,100,100,100,100,0,0,100,0,0,0,10.027,0,0,2.335,0,0,Sí,Sí,Interesantes oraciones.
3/8/20 16:10,3/8/20 16:16,IP Address,189.177.214.1,100,344,TRUE,3/8/20 16:16,R_1o6XCJ0ftCKq0nl,NA,NA,NA,NA,20.80659485,-105.2842026,anonymous,ES,15,2.548,97.771,69.745,2.229,18.471,85.669,17.197,21.656,100,8.28,16.242,77.389,64.968,15.924,100,100,99.045,100,100,100,100,100,100,100,100,100,68.79,2.229,100,16.561,2.229,50.637,2.229,7.006,19.108,12.739,10.191,100,Sí,Sí,NA
3/8/20 16:14,3/8/20 16:20,IP Address,93.23.19.167,100,345,TRUE,3/8/20 16:20,R_301XGwiR6X9mKxu,NA,NA,NA,NA,48.85820007,2.338699341,anonymous,ES,16,4.777,100,46.497,11.465,14.331,30.255,62.739,18.471,64.331,5.414,5.414,5.414,7.006,3.503,100,100,100,80.892,67.516,80.255,100,100,100,100,96.178,100,6.369,2.229,100,2.548,2.866,17.197,14.65,7.006,10.51,13.057,4.777,5,No,Sí,NA
3/8/20 16:13,3/8/20 16:20,IP Address,189.163.87.137,100,426,TRUE,3/8/20 16:20,R_5mRlZmP7UWGxTfr,NA,NA,NA,NA,20.79139709,-103.4941025,anonymous,ES,17,12.766,100,3.04,51.976,17.021,13.374,0,5.167,29.787,13.678,38.602,37.082,8.511,12.462,100,95.441,100,100,100,99.696,100,100,100,82.979,100,100,5.167,9.119,35.258,23.708,9.726,10.03,2.128,2.432,0.608,4.863,2.128,80,Sí,Sí,NA
3/8/20 16:43,3/8/20 16:56,IP Address,189.168.255.54,100,740,TRUE,3/8/20 16:56,R_1qdMo9eAP5FMH0K,NA,NA,NA,NA,20.67590332,-103.3375015,anonymous,ES,18,0,89.666,86.93,75.076,80.547,63.222,88.45,95.745,95.441,77.508,71.429,62.31,74.468,100,100,100,100,100,100,100,100,100,100,100,100,100,61.702,71.125,68.997,62.31,42.249,70.821,74.772,61.094,3.951,83.587,76.292,85,Sí,Sí,Gracias
3/8/20 16:50,3/8/20 17:02,IP Address,189.168.255.54,100,702,TRUE,3/8/20 17:02,R_3HTC5OdK51e3dkT,NA,NA,NA,NA,20.67590332,-103.3375015,anonymous,ES,19,5.839,100,35.766,77.737,20.803,62.409,79.562,87.956,86.496,83.212,89.416,78.102,10.949,5.839,98.54,100,90.511,100,100,100,100,100,100,91.241,100,100,93.066,5.839,80.657,90.876,86.861,90.511,72.628,81.022,86.131,93.431,79.197,87,Sí,Sí,NA
3/8/20 16:53,3/8/20 17:04,IP Address,201.110.67.140,100,671,TRUE,3/8/20 17:04,R_3meFlADutDZe1R4,NA,NA,NA,NA,19.48060608,-99.24140167,anonymous,ES,20,7.484,96.178,30.096,3.981,1.911,2.389,2.229,9.873,98.408,89.331,6.688,7.325,3.981,14.121,98.726,100,99.682,79.777,93.471,88.854,96.656,96.338,96.417,98.089,98.089,97.771,3.185,24.363,2.229,11.943,7.325,1.274,1.831,9.713,2.866,4.14,1.911,11,Sí,Sí,En las oraciones se presentaba el mismo error.
3/8/20 17:04,3/8/20 17:10,IP Address,68.129.209.226,100,362,TRUE,3/8/20 17:10,R_1FgleciccjqPlXm,NA,NA,NA,NA,40.69400024,-73.99009705,anonymous,ES,21,4.255,100,2.128,42.553,5.775,53.191,1.216,20.365,100,1.216,48.936,1.216,92.097,82.067,100,100,100,99.696,96.049,100,100,99.088,97.568,100,99.696,100,14.59,1.52,49.24,0.608,2.128,0.912,46.201,3.647,0.304,13.374,3.343,5,No,Sí,NA
3/8/20 17:10,3/8/20 17:15,IP Address,189.168.255.54,100,339,TRUE,3/8/20 17:15,R_3MbeuoPQbOybmFo,NA,NA,NA,NA,20.67590332,-103.3375015,anonymous,ES,22,16.717,100,43.161,72.34,70.821,31.307,91.489,83.283,100,54.711,52.888,83.891,24.012,72.948,100,100,100,100,78.116,93.009,76.596,100,70.213,100,89.058,100,72.036,39.514,31.003,37.386,37.386,32.827,79.635,28.875,36.778,33.131,32.523,44,Sí,Sí,NA
3/9/20 20:27,3/9/20 20:40,IP Address,177.245.223.5,100,733,TRUE,3/9/20 20:40,R_3oZ5drWAhBTlItt,NA,NA,NA,NA,20.66679382,-103.392601,anonymous,ES,23,0,100,60.79,100,28.267,35.866,54.103,1.52,77.812,45.289,28.875,37.994,49.544,27.964,100,100,100,100,100,100,100,100,100,100,100,100,63.526,4.863,29.179,4.863,5.471,41.337,5.167,1.824,11.246,6.991,6.991,100,Sí,Sí,NA
3/9/20 20:29,3/9/20 20:42,IP Address,189.163.43.10,100,725,TRUE,3/9/20 20:42,R_8q9frLFbJuoNu8h,NA,NA,NA,NA,20.67590332,-103.3375015,anonymous,ES,24,19.108,100,16.242,50.478,23.248,49.045,45.541,44.268,100,80.096,9.554,23.885,32.166,14.968,100,100,100,100,100,100,100,100,100,100,100,100,51.911,28.981,21.019,29.618,33.758,25.796,52.866,58.28,8.28,19.745,10.51,50,Sí,Sí,NA
3/9/20 20:46,3/9/20 20:58,IP Address,189.181.114.126,100,717,TRUE,3/9/20 20:58,R_2QYegvtNzxi8gcQ,NA,NA,NA,NA,20.66679382,-103.392601,anonymous,ES,25,12.757,97.942,80.11,42.112,51.44,4.115,21.262,19.479,72.977,21.536,21.262,19.89,6.036,49.657,98.903,98.491,99.451,95.748,98.628,81.756,97.531,97.805,92.73,98.765,91.632,98.903,30.59,30.178,99.04,80.933,20.439,79.973,79.835,30.864,41.015,69.41,13.855,83,Sí,Sí,NA
3/9/20 22:13,3/9/20 22:25,IP Address,189.181.114.126,100,715,TRUE,3/9/20 22:25,R_306jL2JwZ5Wrfw0,NA,NA,NA,NA,20.66679382,-103.392601,anonymous,ES,26,0,100,70.645,0.549,80.11,94.65,90.398,95.062,100,90.809,70.37,70.919,0.412,0.549,100,100,100,100,100,100,100,100,100,100,100,100,90.535,70.233,90.535,70.645,0.412,70.508,70.508,70.645,0.412,90.809,0.412,90,Sí,Sí,"Interesante ejercicio, en ocasiones prescindir del articulo neutro hace la frase confusa para el receptor"
3/9/20 23:14,3/9/20 23:31,IP Address,189.181.114.126,100,1062,TRUE,3/9/20 23:31,R_1NfdsLeTs8Zbeiz,NA,NA,NA,NA,20.66679382,-103.392601,anonymous,ES,27,9.554,100,100,49.045,4.042,87.898,88.535,77.07,86.943,11.783,59.236,1.381,2.229,69.427,100,100,100,49.045,100,100,100,100,100,78.662,100,100,28.981,21.338,59.873,58.917,78.025,77.389,49.045,10.51,20.701,10.828,29.618,89,Sí,Sí,"Creo yo, las respuestas varían dependiendo del origen de la persona ya que el lenguaje es amplio y podría ser más o menos entendible para algunas personas"
3/9/20 23:23,3/9/20 23:34,IP Address,200.39.26.167,100,707,TRUE,3/9/20 23:34,R_1q2hc9vmHue50ym,NA,NA,NA,NA,19.43710327,-99.01110077,anonymous,ES,28,8.917,89.49,83.121,39.809,82.166,19.108,67.197,76.433,100,89.172,56.688,65.605,21.975,79.299,98.089,100,100,88.535,85.35,88.854,85.032,100,92.675,81.529,98.089,89.066,42.994,22.293,82.166,72.293,14.65,30.573,60.191,28.981,35.35,37.58,22.93,61,Sí,Sí,"Interesante saber si las frases son de nativos o no, puede ayudar en temas de mejor comunicación y es interesante recabar este tipo de información"
3/10/20 1:24,3/10/20 1:39,IP Address,187.192.235.120,100,917,TRUE,3/10/20 1:39,R_1pDuIdI3DABDDCf,NA,NA,NA,NA,20.72239685,-103.3833008,anonymous,ES,29,0,100,21.399,100,18.93,19.067,19.89,72.016,100,70.645,62.14,72.016,11.66,2.058,100,100,100,100,59.945,91.358,100,100,90.398,100,72.565,100,61.866,10.425,72.016,19.616,19.616,30.178,18.519,0,20.027,9.465,10.562,81,Sí,Sí,"Quizá sería importante valorar que el experimento tuviera opción para retroceder las preguntas, ya que conforme éste va avanzando, uno se replantea las calificaciones dadas al principio."
3/11/20 12:12,3/11/20 12:21,IP Address,130.15.34.60,100,547,TRUE,3/11/20 12:21,R_2bP2N4Qs2pNgd3Q,NA,NA,NA,NA,44.29829407,-76.43229675,anonymous,ES,30,1.236,100,34.066,18.407,0.687,88.049,1.786,3.846,50.824,2.335,29.258,62.225,67.995,52.335,100,100,100,98.764,99.313,100,99.038,100,100,100,99.725,100,18.544,1.511,1.511,0.824,2.61,2.335,1.923,1.236,1.786,0.412,0.962,21,No,Sí,NA
3/11/20 12:50,3/11/20 12:58,IP Address,187.189.36.26,100,468,TRUE,3/11/20 12:58,R_1rf6srTAYuskrte,NA,NA,NA,NA,20.67590332,-103.3375015,anonymous,ES,31,0,100,45.223,100,48.726,45.86,46.178,100,100,100,46.178,45.382,48.408,45.701,100,100,100,100,100,100,100,100,100,100,100,99.841,83.28,32.484,100,52.866,47.452,47.452,51.115,46.975,0,48.567,49.363,47,Sí,Sí,NA
